"경제활동별(1)","시점","시도별(1)",실질
"지역내총생산(시장가격)","2011","전라남도",66697766
"지역내총생산(시장가격)","2011","경상북도",94466406
"지역내총생산(시장가격)","2011","경상남도",101258402
"지역내총생산(시장가격)","2011","제주특별자치도",13231976
"지역내총생산(시장가격)","2012","서울특별시",348568408
"지역내총생산(시장가격)","2012","부산광역시",75742868
"지역내총생산(시장가격)","2012","대구광역시",47367831
"지역내총생산(시장가격)","2012","인천광역시",73129842
"지역내총생산(시장가격)","2012","광주광역시",31650181
"지역내총생산(시장가격)","2012","대전광역시",34977219
"지역내총생산(시장가격)","2012","울산광역시",71957705
"지역내총생산(시장가격)","2012","경기도",327820620
"지역내총생산(시장가격)","2012","강원도",37021010
"지역내총생산(시장가격)","2012","충청북도",47647389
"지역내총생산(시장가격)","2012","충청남도",99219568
"지역내총생산(시장가격)","2012","전라북도",43728235
"지역내총생산(시장가격)","2012","전라남도",67142356
"지역내총생산(시장가격)","2012","경상북도",95229383
"지역내총생산(시장가격)","2012","경상남도",103911994
"지역내총생산(시장가격)","2012","제주특별자치도",14067649
"지역내총생산(시장가격)","2013","서울특별시",354319250
"지역내총생산(시장가격)","2013","부산광역시",77000292
"지역내총생산(시장가격)","2013","대구광역시",49036361
"지역내총생산(시장가격)","2013","인천광역시",75073082
"지역내총생산(시장가격)","2013","광주광역시",32859385
"지역내총생산(시장가격)","2013","대전광역시",35375467
"지역내총생산(시장가격)","2013","울산광역시",72322408
"지역내총생산(시장가격)","2013","세종특별자치시",6883305
"지역내총생산(시장가격)","2013","경기도",346430719
"지역내총생산(시장가격)","2013","강원도",38211948
"지역내총생산(시장가격)","2013","충청북도",49519653
"지역내총생산(시장가격)","2013","충청남도",97403497
"지역내총생산(시장가격)","2013","전라북도",45637671
"지역내총생산(시장가격)","2013","전라남도",68435908
"지역내총생산(시장가격)","2013","경상북도",98842637
"지역내총생산(시장가격)","2013","경상남도",104475348
"지역내총생산(시장가격)","2013","제주특별자치도",14763437
"지역내총생산(시장가격)","2014","서울특별시",359661759
"지역내총생산(시장가격)","2014","부산광역시",80258570
"지역내총생산(시장가격)","2014","대구광역시",50329551
"지역내총생산(시장가격)","2014","인천광역시",78694187
"지역내총생산(시장가격)","2014","광주광역시",34169569
"지역내총생산(시장가격)","2014","대전광역시",36081650
"지역내총생산(시장가격)","2014","울산광역시",72408971
"지역내총생산(시장가격)","2014","세종특별자치시",8635120
"지역내총생산(시장가격)","2014","경기도",362159526
"지역내총생산(시장가격)","2014","강원도",40077987
"지역내총생산(시장가격)","2014","충청북도",51596699
"지역내총생산(시장가격)","2014","충청남도",100199403
"지역내총생산(시장가격)","2014","전라북도",46567890
"지역내총생산(시장가격)","2014","전라남도",68405097
"지역내총생산(시장가격)","2014","경상북도",105901155
"지역내총생산(시장가격)","2014","경상남도",104843574
"지역내총생산(시장가격)","2014","제주특별자치도",15785920
"지역내총생산(시장가격)","2015","서울특별시",370167867
"지역내총생산(시장가격)","2015","부산광역시",82701497
"지역내총생산(시장가격)","2015","대구광역시",51822013
"지역내총생산(시장가격)","2015","인천광역시",80137506
"지역내총생산(시장가격)","2015","광주광역시",34845589
"지역내총생산(시장가격)","2015","대전광역시",37162614
"지역내총생산(시장가격)","2015","울산광역시",72854409
"지역내총생산(시장가격)","2015","세종특별자치시",9261543
"지역내총생산(시장가격)","2015","경기도",381978306
"지역내총생산(시장가격)","2015","강원도",40867985
"지역내총생산(시장가격)","2015","충청북도",55191633
"지역내총생산(시장가격)","2015","충청남도",101299131
"지역내총생산(시장가격)","2015","전라북도",47018028
"지역내총생산(시장가격)","2015","전라남도",68878376
"지역내총생산(시장가격)","2015","경상북도",103120174
"지역내총생산(시장가격)","2015","경상남도",106590936
"지역내총생산(시장가격)","2015","제주특별자치도",16946709
"지역내총생산(시장가격)","2016","서울특별시",380679274
"지역내총생산(시장가격)","2016","부산광역시",84114530
"지역내총생산(시장가격)","2016","대구광역시",51823902
"지역내총생산(시장가격)","2016","인천광역시",82257112
"지역내총생산(시장가격)","2016","광주광역시",35933462
"지역내총생산(시장가격)","2016","대전광역시",38456557
"지역내총생산(시장가격)","2016","울산광역시",73477668
"지역내총생산(시장가격)","2016","세종특별자치시",9729904
"지역내총생산(시장가격)","2016","경기도",399827962
"지역내총생산(시장가격)","2016","강원도",42047331
"지역내총생산(시장가격)","2016","충청북도",58380533
"지역내총생산(시장가격)","2016","충청남도",104503363
"지역내총생산(시장가격)","2016","전라북도",46664550
"지역내총생산(시장가격)","2016","전라남도",70449724
"지역내총생산(시장가격)","2016","경상북도",105745496
"지역내총생산(시장가격)","2016","경상남도",107343355
"지역내총생산(시장가격)","2016","제주특별자치도",18307842
"지역내총생산(시장가격)","2017","서울특별시",389584629
"지역내총생산(시장가격)","2017","부산광역시",85441974
"지역내총생산(시장가격)","2017","대구광역시",52721214
"지역내총생산(시장가격)","2017","인천광역시",85791563
"지역내총생산(시장가격)","2017","광주광역시",36384616
"지역내총생산(시장가격)","2017","대전광역시",38772485
"지역내총생산(시장가격)","2017","울산광역시",72968962
"지역내총생산(시장가격)","2017","세종특별자치시",10140164
"지역내총생산(시장가격)","2017","경기도",426172886
"지역내총생산(시장가격)","2017","강원도",43761362
"지역내총생산(시장가격)","2017","충청북도",61953139
"지역내총생산(시장가격)","2017","충청남도",110165655
"지역내총생산(시장가격)","2017","전라북도",47553099
"지역내총생산(시장가격)","2017","전라남도",71340179
"지역내총생산(시장가격)","2017","경상북도",104429785
"지역내총생산(시장가격)","2017","경상남도",106561346
"지역내총생산(시장가격)","2017","제주특별자치도",19144657
"지역내총생산(시장가격)","2018","서울특별시",403605888
"지역내총생산(시장가격)","2018","부산광역시",86889875
"지역내총생산(시장가격)","2018","대구광역시",53964991
"지역내총생산(시장가격)","2018","인천광역시",86426825
"지역내총생산(시장가격)","2018","광주광역시",38216077
"지역내총생산(시장가격)","2018","대전광역시",39135729
"지역내총생산(시장가격)","2018","울산광역시",71344390
"지역내총생산(시장가격)","2018","세종특별자치시",10423610
"지역내총생산(시장가격)","2018","경기도",451914662
