"시점","행정구역별",데이터
"2016","경기도",19245126
"2016","강원도",1859620
"2016","충청북도",2020649
"2016","충청남도",3120102
"2016","전라북도",1896033
"2016","전라남도",2243786
"2016","경상북도",3567765
"2016","경상남도",4736834
"2016","제주특별자치도",1376124
"2017","서울특별시",19296437
"2017","부산광역시",4947208
"2017","대구광역시",3156682
"2017","인천광역시",4427782
"2017","광주광역시",1710868
"2017","대전광역시",1713620
"2017","울산광역시",1983863
"2017","세종특별자치시",665142
"2017","경기도",20710614
"2017","강원도",1944969
"2017","충청북도",2106205
"2017","충청남도",3433932
"2017","전라북도",2005960
"2017","전라남도",2319014
"2017","경상북도",3719931
"2017","경상남도",4818215
"2017","제주특별자치도",1448695
"2018","서울특별시",20695311
"2018","부산광역시",4935112
"2018","대구광역시",3227882
"2018","인천광역시",4465821
"2018","광주광역시",1845600
"2018","대전광역시",1735655
"2018","울산광역시",1946957
"2018","세종특별자치시",670652
"2018","경기도",22807183
"2018","강원도",2057307
"2018","충청북도",2281543
"2018","충청남도",3507758
"2018","전라북도",2039943
"2018","전라남도",2392217
"2018","경상북도",3634277
"2018","경상남도",4616070
"2018","제주특별자치도",1458970
"2019","서울특별시",22268213
"2019","부산광역시",5191892
"2019","대구광역시",3476077
"2019","인천광역시",4809476
"2019","광주광역시",2027885
"2019","대전광역시",1991017
"2019","울산광역시",2040650
"2019","세종특별자치시",666939
"2019","경기도",24138048
"2019","강원도",2168668
"2019","충청북도",2573152
"2019","충청남도",3560335
"2019","전라북도",2292195
"2019","전라남도",2714787
"2019","경상북도",3922794
"2019","경상남도",5098712
"2019","제주특별자치도",1519568
"2020","서울특별시",25531987
"2020","부산광역시",6199573
"2020","대구광역시",3959389
"2020","인천광역시",5187705
"2020","광주광역시",2267962
"2020","대전광역시",2252393
"2020","울산광역시",2093867
"2020","세종특별자치시",795242
"2020","경기도",25801039
"2020","강원도",2653723
"2020","충청북도",2770501
"2020","충청남도",4125636
"2020","전라북도",2921771
"2020","전라남도",3564716
"2020","경상북도",4589594
"2020","경상남도",5731861
"2020","제주특별자치도",1601823
"2021","서울특별시",28382503
"2021","부산광역시",6468033
"2021","대구광역시",4246517
"2021","인천광역시",5923870
"2021","광주광역시",2392719
"2021","대전광역시",2511095
"2021","울산광역시",2216360
"2021","세종특별자치시",877116
"2021","경기도",29735913
"2021","강원도",2875409
"2021","충청북도",3149318
"2021","충청남도",4595115
"2021","전라북도",3063559
"2021","전라남도",3730749
"2021","경상북도",4898316
"2021","경상남도",6046173
"2021","제주특별자치도",1685665
