"행정구역(시군구)별",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"양구군",7908,8004,7984,8132,8192,8261,8396,8716,8875,8989,9407,9775,10051,10507,10778,11140,11355,11340,11058,10840,10828,10660,10609
"인제군",11405,11421,11524,11738,12200,12796,12963,13043,12977,13015,13528,13935,14348,14474,14613,15594,15426,15523,15550,15583,15900,16380,16631
"고성군",12089,12216,12287,12326,12484,12698,12793,12757,13136,13562,13975,14248,14663,15377,15408,15324,15377,15519,14763,14445,14546,15064,15291
"양양군",10494,10772,11098,11242,11427,11723,11904,12122,12227,12394,12574,12783,12885,13133,13229,13374,13402,13526,13693,14081,14549,14759,14948
"충청북도",491781,499739,508561,522501,534231,547213,561762,574189,587411,599204,617431,627006,633166,644062,656321,669503,680960,692140,707220,722123,745644,760672,771848
"청주시",187345,193794,201444,211263,218997,226145,229125,233659,237556,240704,247916,251174,254271,259455,330551,336408,341596,346000,353320,360496,376252,387016,393697
"상당구",73808,75573,78817,83893,87628,90853,92360,91428,90706,90748,91133,91521,91519,94768,70847,70468,70130,69624,72401,73870,81185,84548,87184
"서원구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,87902,87656,87531,88484,87678,87148,87404,89194,90101
"흥덕구",113537,118221,122627,127370,131369,135292,136765,142231,146850,149956,156783,159653,162752,164687,100445,103300,105126,106959,109293,114477,120261,123699,125730
"청원구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,71357,74984,78809,80933,83948,85001,87402,89575,90682
"충주시",70350,70879,71070,71841,72853,73933,75053,76788,78655,80251,82295,82946,83848,84902,86591,87463,88900,90246,93163,95648,98020,99651,100843
"제천시",48519,48439,48656,49082,49552,50763,51480,52392,53291,54485,56504,57393,57975,58662,59233,59856,60946,61949,62367,63417,63945,64540,65436
"청원군",41452,41992,42273,43159,43901,45274,52408,55221,58171,59873,62144,64669,63926,64846,-,-,-,-,-,-,-,-,-
"보은군",15017,14956,14803,14770,14761,14782,14858,14736,14950,15158,15464,15510,15577,15710,15864,16147,16304,16501,16600,16684,16981,17039,16959
"옥천군",20289,20279,20470,20730,20806,20890,21036,21259,21471,21826,22309,22307,22407,22494,22608,22967,23092,23290,23681,24004,24437,25104,25415
"영동군",20016,19888,20003,19963,19905,20037,20080,20229,20689,21271,21767,22025,22293,22554,23111,23586,23840,24132,24370,24509,24414,23813,23794
"증평군",-,-,-,11013,11028,11234,11508,11966,12481,13326,13762,14091,14173,14398,14727,15790,16238,16694,16854,17283,17697,17832,18583
"진천군",20306,20736,20971,21711,22565,23171,23831,24106,24652,25280,26005,26488,26873,27750,28285,29750,30746,32898,35276,37213,39594,41323,42398
"괴산군",15737,15773,15632,15720,15935,15976,16093,16206,16433,16908,17341,17805,18187,18716,19151,19620,19905,20577,20899,21256,22145,21851,21347
"음성군",28874,29270,29628,30163,30920,31810,33014,34408,35684,36457,37887,38518,39536,40307,41749,43279,44649,45069,45571,46402,46831,47431,48292
"단양군",13583,13472,13287,13086,13008,13198,13276,13219,13378,13665,14037,14080,14100,14268,14451,14637,14744,14784,15119,15211,15328,15072,15084
