"행정구역별(1)","시간대별(1)","시점",공공의료시설,공공의료시설,병·의원,병·의원,종합병원,종합병원
"행정구역별(1)","시간대별(1)","시점",승용차,대중교통/도보,승용차,대중교통/도보,승용차,대중교통/도보
"전라남도","저녁첨두(18-20시)","2018",7.28,28.06,7.24,33.12,23.36,57.70
"전라남도","저녁첨두(18-20시)","2019",8.26,63.16,19.17,93.52,46.37,120.00
"전라남도","저녁첨두(18-20시)","2020",8.04,29.44,8.03,31.42,23.47,56.02
"경상북도","일평균(06-20시)","2017",7.22,23.61,6.09,22.43,22.96,55.44
"경상북도","일평균(06-20시)","2018",7.17,23.19,6.12,22.16,21.11,49.47
"경상북도","일평균(06-20시)","2019",7.00,30.53,6.87,30.99,21.87,63.10
"경상북도","일평균(06-20시)","2020",7.57,22.75,6.53,20.32,21.04,47.09
"경상북도","오전첨두(07-09시)","2017",7.09,23.22,6.01,22.07,22.56,54.92
"경상북도","오전첨두(07-09시)","2018",7.08,22.93,6.03,21.04,20.89,48.48
"경상북도","오전첨두(07-09시)","2019",6.85,26.52,6.64,24.49,21.23,54.47
"경상북도","오전첨두(07-09시)","2020",7.49,22.64,6.47,20.03,20.95,46.91
"경상북도","낮시간(12-14시)","2017",7.25,23.78,6.10,23.58,23.05,56.26
"경상북도","낮시간(12-14시)","2018",7.21,23.21,6.14,22.39,21.17,50.54
"경상북도","낮시간(12-14시)","2019",7.04,29.62,6.50,29.44,21.59,61.94
"경상북도","낮시간(12-14시)","2020",7.68,23.40,6.62,21.35,21.26,48.90
"경상북도","저녁첨두(18-20시)","2017",7.39,24.08,6.18,22.73,23.40,55.51
"경상북도","저녁첨두(18-20시)","2018",7.20,26.35,6.17,27.79,21.22,54.46
"경상북도","저녁첨두(18-20시)","2019",7.01,53.56,10.28,71.71,25.29,116.51
"경상북도","저녁첨두(18-20시)","2020",7.63,27.30,6.58,27.11,21.12,53.87
"경상남도","일평균(06-20시)","2017",8.26,18.52,4.05,12.14,19.22,40.53
"경상남도","일평균(06-20시)","2018",8.29,19.22,3.96,13.62,19.14,38.70
"경상남도","일평균(06-20시)","2019",7.47,24.51,4.00,19.07,19.11,49.10
"경상남도","일평균(06-20시)","2020",8.02,18.47,4.20,12.19,18.54,37.47
"경상남도","오전첨두(07-09시)","2017",8.01,18.48,3.98,11.69,18.77,39.86
"경상남도","오전첨두(07-09시)","2018",8.16,18.84,3.85,12.82,18.76,37.79
"경상남도","오전첨두(07-09시)","2019",7.03,20.99,3.75,14.44,18.31,41.29
"경상남도","오전첨두(07-09시)","2020",7.93,18.64,4.15,12.24,18.41,37.36
"경상남도","낮시간(12-14시)","2017",8.32,18.72,4.08,12.38,19.35,40.69
"경상남도","낮시간(12-14시)","2018",8.32,19.48,3.97,14.15,19.23,39.47
"경상남도","낮시간(12-14시)","2019",7.48,25.15,3.93,19.62,19.11,50.17
"경상남도","낮시간(12-14시)","2020",8.11,18.88,4.26,12.62,18.72,38.36
"경상남도","저녁첨두(18-20시)","2017",8.55,19.09,4.19,12.45,19.64,40.80
"경상남도","저녁첨두(18-20시)","2018",8.39,21.53,4.18,17.59,19.33,42.07
"경상남도","저녁첨두(18-20시)","2019",8.02,37.81,5.59,43.63,21.23,86.78
"경상남도","저녁첨두(18-20시)","2020",8.22,21.32,4.52,16.86,18.83,42.19
"제주특별자치도","일평균(06-20시)","2017",9.72,20.37,4.83,8.48,18.87,29.24
"제주특별자치도","일평균(06-20시)","2018",9.33,20.63,4.59,10.46,18.06,29.41
"제주특별자치도","일평균(06-20시)","2019",9.19,23.73,5.07,11.99,18.58,33.38
"제주특별자치도","일평균(06-20시)","2020",9.31,20.78,4.67,10.50,18.83,29.77
"제주특별자치도","오전첨두(07-09시)","2017",9.38,19.86,4.85,8.25,18.33,28.46
"제주특별자치도","오전첨두(07-09시)","2018",9.44,21.03,4.54,10.67,17.94,29.46
"제주특별자치도","오전첨두(07-09시)","2019",8.81,22.48,5.18,11.80,18.00,32.45
"제주특별자치도","오전첨두(07-09시)","2020",9.27,21.14,4.67,10.68,18.61,29.70
"제주특별자치도","낮시간(12-14시)","2017",9.88,20.55,4.94,8.44,18.97,29.07
"제주특별자치도","낮시간(12-14시)","2018",9.33,20.89,4.60,10.62,18.06,30.07
"제주특별자치도","낮시간(12-14시)","2019",9.34,25.52,5.14,12.39,18.74,34.31
"제주특별자치도","낮시간(12-14시)","2020",9.48,21.59,4.71,10.83,19.04,30.76
"제주특별자치도","저녁첨두(18-20시)","2017",9.95,20.05,5.52,8.83,19.82,29.24
"제주특별자치도","저녁첨두(18-20시)","2018",9.19,20.61,5.02,11.19,18.41,30.11
"제주특별자치도","저녁첨두(18-20시)","2019",9.13,25.07,11.63,17.55,25.13,38.78
"제주특별자치도","저녁첨두(18-20시)","2020",9.21,21.31,5.29,11.38,19.25,30.70
