"이동규모별","시점","전출지별",서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"8인","2022","경기도",9,0,0,3,0,0,0,0,78,0,0,0,0,1,0,0,0
"8인","2022","강원도",1,0,0,0,0,1,0,1,1,9,0,0,0,0,0,0,0
"8인","2022","충청북도",1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"8인","2022","충청남도",0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0
"8인","2022","전라북도",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"8인","2022","전라남도",1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0
"8인","2022","경상북도",0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0
"8인","2022","경상남도",0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0
"8인","2022","제주특별자치도",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"9인","2018","서울특별시",31,0,0,0,0,0,0,0,15,0,1,0,1,0,1,0,0
"9인","2018","부산광역시",0,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"9인","2018","대구광역시",1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"9인","2018","인천광역시",0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0
"9인","2018","광주광역시",0,0,0,1,7,0,0,0,0,0,0,0,1,0,0,0,0
"9인","2018","대전광역시",0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
"9인","2018","울산광역시",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"9인","2018","세종특별자치시",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"9인","2018","경기도",5,0,0,0,0,0,1,0,49,1,0,0,0,1,0,1,0
"9인","2018","강원도",1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
"9인","2018","충청북도",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"9인","2018","충청남도",1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"9인","2018","전라북도",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0
"9인","2018","전라남도",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"9인","2018","경상북도",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"9인","2018","경상남도",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0
"9인","2018","제주특별자치도",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9인","2019","서울특별시",39,1,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0
"9인","2019","부산광역시",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"9인","2019","대구광역시",0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"9인","2019","인천광역시",1,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,1
"9인","2019","광주광역시",1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
"9인","2019","대전광역시",0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
"9인","2019","울산광역시",0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0
"9인","2019","세종특별자치시",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"9인","2019","경기도",5,0,1,2,0,0,0,0,40,1,0,0,0,0,0,0,0
"9인","2019","강원도",1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0
"9인","2019","충청북도",0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0
"9인","2019","충청남도",0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
"9인","2019","전라북도",1,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0
"9인","2019","전라남도",1,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"9인","2019","경상북도",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"9인","2019","경상남도",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"9인","2019","제주특별자치도",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"9인","2020","서울특별시",34,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0
"9인","2020","부산광역시",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"9인","2020","대구광역시",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9인","2020","인천광역시",0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0
"9인","2020","광주광역시",0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0
"9인","2020","대전광역시",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"9인","2020","울산광역시",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9인","2020","세종특별자치시",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"9인","2020","경기도",5,0,0,2,0,0,0,0,44,0,0,1,0,0,1,0,0
"9인","2020","강원도",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"9인","2020","충청북도",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"9인","2020","충청남도",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"9인","2020","전라북도",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1
"9인","2020","전라남도",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"9인","2020","경상북도",0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
"9인","2020","경상남도",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"9인","2020","제주특별자치도",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"9인","2021","서울특별시",28,0,0,0,0,0,0,0,8,1,0,0,1,0,1,0,0
